team_owner,player_name,team,position,original_draft_value,current_value,updated,nextUpdate
JonBenét Rams,Clyde Edwards-Helaire,KC,RB,48.0,48,2020-09-22,2020-09-29
JonBenét Rams,Cam Akers,LAR,RB,17.0,17,2020-09-22,2020-09-29
JonBenét Rams,David Montgomery,CHI,RB,8.0,8,2020-09-22,2020-09-29
JonBenét Rams,Sony Michel,NE,RB,3.0,3,2020-09-22,2020-09-29
JonBenét Rams,Darrel Williams,KC,RB,0.0,2,2020-09-22,2020-09-29
JonBenét Rams,Devonta Freeman,0,RB,1.0,1,2020-09-22,2020-09-29
JonBenét Rams,Justin Jackson,LAC,RB,1.0,1,2020-09-22,2020-09-29
JonBenét Rams,Alexander Mattison,MIN,RB,1.0,1,2020-09-22,2020-09-29
JonBenét Rams,A.J. Dillon,GB,RB,1.0,1,2020-09-22,2020-09-29
JonBenét Rams,Joshua Kelley,LAC,RB,1.0,1,2020-09-22,2020-09-29
JonBenét Rams,Tyreek Hill,KC,WR,42.0,42,2020-09-22,2020-09-29
JonBenét Rams,Kenny Golladay,DET,WR,17.0,17,2020-09-22,2020-09-29
JonBenét Rams,DK Metcalf,SEA,WR,9.0,9,2020-09-22,2020-09-29
JonBenét Rams,Laviska Shenault,JAX,WR,1.0,1,2020-09-22,2020-09-29
JonBenét Rams,Mark Andrews,BAL,TE,13.0,13,2020-09-22,2020-09-29
JonBenét Rams,Noah Fant,DEN,TE,3.0,3,2020-09-22,2020-09-29
JonBenét Rams,Dallas Goedert,PHI,TE,1.0,1,2020-09-22,2020-09-29
JonBenét Rams,Jordan Reed,SF,TE,0.0,0,2020-09-22,2020-09-29
La Panenka,Dak Prescott,DAL,QB,21.0,21,2020-09-22,2020-09-29
La Panenka,Cam Newton,NE,QB,6.0,6,2020-09-22,2020-09-29
La Panenka,Taysom Hill,NO,QB,1.0,1,2020-09-22,2020-09-29
La Panenka,Drew Lock,DEN,QB,1.0,1,2020-09-22,2020-09-29
La Panenka,Christian McCaffrey,CAR,RB,65.0,65,2020-09-22,2020-09-29
La Panenka,Derrick Henry,TEN,RB,40.0,40,2020-09-22,2020-09-29
La Panenka,J.K. Dobbins,BAL,RB,5.0,5,2020-09-22,2020-09-29
La Panenka,Marlon Mack,IND,RB,4.0,4,2020-09-22,2020-09-29
La Panenka,Tarik Cohen,CHI,RB,4.0,4,2020-09-22,2020-09-29
La Panenka,Chase Edmonds,ARI,RB,1.0,1,2020-09-22,2020-09-29
La Panenka,Tony Pollard,DAL,RB,1.0,1,2020-09-22,2020-09-29
La Panenka,Brian Hill,ATL,RB,0.0,0,2020-09-22,2020-09-29
La Panenka,Davante Adams,GB,WR,35.0,35,2020-09-22,2020-09-29
La Panenka,Tre'Quan Smith,NO,WR,0.0,15,2020-09-22,2020-09-29
La Panenka,Russell Gage,ATL,WR,0.0,11,2020-09-22,2020-09-29
La Panenka,Marquise Brown,BAL,WR,6.0,6,2020-09-22,2020-09-29
La Panenka,DeSean Jackson,PHI,WR,4.0,4,2020-09-22,2020-09-29
La Panenka,Steven Sims,WAS,WR,0.0,1,2020-09-22,2020-09-29
La Panenka,Jalen Reagor,PHI,WR,1.0,1,2020-09-22,2020-09-29
La Panenka,Quintez Cephus,DET,WR,0.0,0,2020-09-22,2020-09-29
La Panenka,Logan Thomas,WAS,TE,0.0,8,2020-09-22,2020-09-29
La Panenka,Jack Doyle,IND,TE,0.0,0,2020-09-22,2020-09-29
Make America Gronk Again,Dwayne Haskins,WAS,QB,4.0,4,2020-09-22,2020-09-29
Make America Gronk Again,Teddy Bridgewater,CAR,QB,2.0,2,2020-09-22,2020-09-29
Make America Gronk Again,Philip Rivers,IND,QB,2.0,2,2020-09-22,2020-09-29
Make America Gronk Again,Kirk Cousins,MIN,QB,1.0,1,2020-09-22,2020-09-29
Make America Gronk Again,Chris Carson,SEA,RB,27.0,27,2020-09-22,2020-09-29
Make America Gronk Again,Jonathan Taylor,IND,RB,20.0,20,2020-09-22,2020-09-29
Make America Gronk Again,Mark Ingram,BAL,RB,10.0,10,2020-09-22,2020-09-29
Make America Gronk Again,James White,NE,RB,9.0,9,2020-09-22,2020-09-29
Make America Gronk Again,Jerick McKinnon,SF,RB,4.0,4,2020-09-22,2020-09-29
Make America Gronk Again,Darrynton Evans,TEN,RB,0.0,0,2020-09-22,2020-09-29
Make America Gronk Again,Chris Godwin,TB,WR,31.0,31,2020-09-22,2020-09-29
Make America Gronk Again,Calvin Ridley,ATL,WR,25.0,25,2020-09-22,2020-09-29
Make America Gronk Again,Robert Woods,LAR,WR,8.0,8,2020-09-22,2020-09-29
Make America Gronk Again,Deebo Samuel,SF,WR,8.0,8,2020-09-22,2020-09-29
Make America Gronk Again,A.J. Green,CIN,WR,6.0,6,2020-09-22,2020-09-29
Make America Gronk Again,Larry Fitzgerald,ARI,WR,4.0,4,2020-09-22,2020-09-29
Make America Gronk Again,Julian Edelman,NE,WR,4.0,4,2020-09-22,2020-09-29
Make America Gronk Again,Trent Taylor,SF,WR,3.0,3,2020-09-22,2020-09-29
Make America Gronk Again,Brandon Aiyuk,SF,WR,3.0,3,2020-09-22,2020-09-29
Make America Gronk Again,Van Jefferson,LAR,WR,0.0,0,2020-09-22,2020-09-29
Make America Gronk Again,Rob Gronkowski,TB,TE,4.0,4,2020-09-22,2020-09-29
SBP,Mitchell Trubisky,CHI,QB,1.0,1,2020-09-22,2020-09-29
SBP,Gardner Minshew,JAX,QB,1.0,1,2020-09-22,2020-09-29
SBP,Tyrod Taylor,LAC,QB,0.0,0,2020-09-22,2020-09-29
SBP,Saquon Barkley,NYG,RB,57.0,57,2020-09-22,2020-09-29
SBP,Dalvin Cook,MIN,RB,47.0,47,2020-09-22,2020-09-29
SBP,Nick Chubb,CLE,RB,32.0,32,2020-09-22,2020-09-29
SBP,Ronald Jones,TB,RB,2.0,2,2020-09-22,2020-09-29
SBP,Nyheim Hines,IND,RB,1.0,1,2020-09-22,2020-09-29
SBP,Darrell Henderson,LAR,RB,1.0,1,2020-09-22,2020-09-29
SBP,Ryquell Armstead,JAX,RB,1.0,1,2020-09-22,2020-09-29
SBP,Julio Jones,ATL,WR,32.0,32,2020-09-22,2020-09-29
SBP,A.J. Brown,TEN,WR,14.0,14,2020-09-22,2020-09-29
SBP,Denzel Mims,NYJ,WR,2.0,2,2020-09-22,2020-09-29
SBP,Marvin Jones,DET,WR,1.0,1,2020-09-22,2020-09-29
SBP,Marquise Goodwin,PHI,WR,1.0,1,2020-09-22,2020-09-29
SBP,Robby Anderson,CAR,WR,1.0,1,2020-09-22,2020-09-29
SBP,Antonio Brown,0,WR,1.0,1,2020-09-22,2020-09-29
SBP,David Njoku,CLE,TE,1.0,1,2020-09-22,2020-09-29
SBP,O.J. Howard,TB,TE,1.0,1,2020-09-22,2020-09-29
SBP,Jonnu Smith,TEN,TE,1.0,1,2020-09-22,2020-09-29
SnakefuckFartbox,Lamar Jackson,BAL,QB,37.0,37,2020-09-22,2020-09-29
SnakefuckFartbox,Patrick Mahomes,KC,QB,31.0,31,2020-09-22,2020-09-29
SnakefuckFartbox,Ryan Tannehill,TEN,QB,1.0,1,2020-09-22,2020-09-29
SnakefuckFartbox,Aaron Jones,GB,RB,29.0,29,2020-09-22,2020-09-29
SnakefuckFartbox,Austin Ekeler,LAC,RB,24.0,24,2020-09-22,2020-09-29
SnakefuckFartbox,Myles Gaskin,MIA,RB,0.0,24,2020-09-22,2020-09-29
SnakefuckFartbox,Melvin Gordon,DEN,RB,13.0,13,2020-09-22,2020-09-29
SnakefuckFartbox,Boston Scott,PHI,RB,1.0,1,2020-09-22,2020-09-29
SnakefuckFartbox,Devine Ozigbo,JAX,RB,1.0,1,2020-09-22,2020-09-29
SnakefuckFartbox,James Robinson,JAX,RB,1.0,1,2020-09-22,2020-09-29
SnakefuckFartbox,D.J. Moore,CAR,WR,15.0,15,2020-09-22,2020-09-29
SnakefuckFartbox,Keenan Allen,LAC,WR,11.0,11,2020-09-22,2020-09-29
SnakefuckFartbox,Marquez Valdes-Scantling,GB,WR,0.0,5,2020-09-22,2020-09-29
SnakefuckFartbox,Michael Gallup,DAL,WR,4.0,4,2020-09-22,2020-09-29
SnakefuckFartbox,Alshon Jeffery,PHI,WR,1.0,1,2020-09-22,2020-09-29
SnakefuckFartbox,Jamison Crowder,NYJ,WR,1.0,1,2020-09-22,2020-09-29
SnakefuckFartbox,Sterling Shepard,NYG,WR,1.0,1,2020-09-22,2020-09-29
SnakefuckFartbox,Preston Williams,MIA,WR,1.0,1,2020-09-22,2020-09-29
SnakefuckFartbox,Adam Humphries,TEN,WR,0.0,0,2020-09-22,2020-09-29
SnakefuckFartbox,Travis Kelce,KC,TE,32.0,32,2020-09-22,2020-09-29
SnakefuckFartbox,Mike Gesicki,MIA,TE,1.0,1,2020-09-22,2020-09-29
dcombs11,Joe Burrow,CIN,QB,11.0,11,2020-09-22,2020-09-29
dcombs11,Drew Brees,NO,QB,6.0,6,2020-09-22,2020-09-29
dcombs11,Josh Allen,BUF,QB,6.0,6,2020-09-22,2020-09-29
dcombs11,Aaron Rodgers,GB,QB,6.0,6,2020-09-22,2020-09-29
dcombs11,Raheem Mostert,SF,RB,11.0,11,2020-09-22,2020-09-29
dcombs11,Damien Harris,NE,RB,9.0,9,2020-09-22,2020-09-29
dcombs11,Kareem Hunt,CLE,RB,8.0,8,2020-09-22,2020-09-29
dcombs11,Leonard Fournette,TB,RB,5.0,5,2020-09-22,2020-09-29
dcombs11,Travis Homer,SEA,RB,3.0,3,2020-09-22,2020-09-29
dcombs11,Kerryon Johnson,DET,RB,2.0,2,2020-09-22,2020-09-29
dcombs11,Tyler Lockett,SEA,WR,21.0,21,2020-09-22,2020-09-29
dcombs11,JuJu Smith-Schuster,PIT,WR,19.0,19,2020-09-22,2020-09-29
dcombs11,Terry McLaurin,WAS,WR,17.0,17,2020-09-22,2020-09-29
dcombs11,Courtland Sutton,DEN,WR,13.0,13,2020-09-22,2020-09-29
dcombs11,DeVante Parker,MIA,WR,11.0,11,2020-09-22,2020-09-29
dcombs11,T.Y. Hilton,IND,WR,10.0,10,2020-09-22,2020-09-29
dcombs11,CeeDee Lamb,DAL,WR,5.0,5,2020-09-22,2020-09-29
dcombs11,Emmanuel Sanders,NO,WR,2.0,2,2020-09-22,2020-09-29
dcombs11,Zach Ertz,PHI,TE,13.0,13,2020-09-22,2020-09-29
dcombs11,Tyler Higbee,LAR,TE,5.0,5,2020-09-22,2020-09-29
destes10,Tua Tagovailoa,MIA,QB,12.0,12,2020-09-22,2020-09-29
destes10,Tom Brady,TB,QB,9.0,9,2020-09-22,2020-09-29
destes10,Daniel Jones,NYG,QB,3.0,3,2020-09-22,2020-09-29
destes10,Jared Goff,LAR,QB,1.0,1,2020-09-22,2020-09-29
destes10,Joe Mixon,CIN,RB,34.0,34,2020-09-22,2020-09-29
destes10,Josh Jacobs,LV,RB,34.0,34,2020-09-22,2020-09-29
destes10,Todd Gurley,ATL,RB,23.0,23,2020-09-22,2020-09-29
destes10,David Johnson,HOU,RB,18.0,18,2020-09-22,2020-09-29
destes10,Tevin Coleman,SF,RB,1.0,1,2020-09-22,2020-09-29
destes10,Mike Evans,TB,WR,23.0,23,2020-09-22,2020-09-29
destes10,Adam Thielen,MIN,WR,19.0,19,2020-09-22,2020-09-29
destes10,Cooper Kupp,LAR,WR,9.0,9,2020-09-22,2020-09-29
destes10,Tyler Boyd,CIN,WR,6.0,6,2020-09-22,2020-09-29
destes10,Justin Jefferson,MIN,WR,4.0,4,2020-09-22,2020-09-29
destes10,Michael Pittman,IND,WR,3.0,3,2020-09-22,2020-09-29
destes10,Bryan Edwards,LV,WR,1.0,1,2020-09-22,2020-09-29
destes10,Evan Engram,NYG,TE,6.0,6,2020-09-22,2020-09-29
destes10,Austin Hooper,CLE,TE,2.0,2,2020-09-22,2020-09-29
destes10,Hayden Hurst,ATL,TE,2.0,2,2020-09-22,2020-09-29
destes10,Eric Ebron,PIT,TE,1.0,1,2020-09-22,2020-09-29
donkeydonkeydonkey,Carson Wentz,PHI,QB,4.0,4,2020-09-22,2020-09-29
donkeydonkeydonkey,Derek Carr,LV,QB,1.0,1,2020-09-22,2020-09-29
donkeydonkeydonkey,Ezekiel Elliott,DAL,RB,55.0,55,2020-09-22,2020-09-29
donkeydonkeydonkey,Miles Sanders,PHI,RB,30.0,30,2020-09-22,2020-09-29
donkeydonkeydonkey,Kenyan Drake,ARI,RB,24.0,24,2020-09-22,2020-09-29
donkeydonkeydonkey,Duke Johnson,HOU,RB,1.0,1,2020-09-22,2020-09-29
donkeydonkeydonkey,Benny Snell,PIT,RB,1.0,1,2020-09-22,2020-09-29
donkeydonkeydonkey,Michael Thomas,NO,WR,52.0,52,2020-09-22,2020-09-29
donkeydonkeydonkey,Allen Robinson,CHI,WR,17.0,17,2020-09-22,2020-09-29
donkeydonkeydonkey,D.J. Chark,JAX,WR,4.0,4,2020-09-22,2020-09-29
donkeydonkeydonkey,Cole Beasley,BUF,WR,1.0,1,2020-09-22,2020-09-29
donkeydonkeydonkey,Sammy Watkins,KC,WR,1.0,1,2020-09-22,2020-09-29
donkeydonkeydonkey,Mike Williams,LAC,WR,1.0,1,2020-09-22,2020-09-29
donkeydonkeydonkey,Anthony Miller,CHI,WR,1.0,1,2020-09-22,2020-09-29
donkeydonkeydonkey,Parris Campbell,IND,WR,1.0,1,2020-09-22,2020-09-29
donkeydonkeydonkey,Darius Slayton,NYG,WR,1.0,1,2020-09-22,2020-09-29
donkeydonkeydonkey,Golden Tate,NYG,WR,1.0,1,2020-09-22,2020-09-29
donkeydonkeydonkey,Hunter Henry,LAC,TE,2.0,2,2020-09-22,2020-09-29
donkeydonkeydonkey,Christopher Herndon,NYJ,TE,1.0,1,2020-09-22,2020-09-29
donkeydonkeydonkey,T.J. Hockenson,DET,TE,1.0,1,2020-09-22,2020-09-29
